Retorno,Varianza,Desviacion,Sharpe,COPEC,CTC-A,CAP,COLBUN,ENDESA,ENTEL
0.00029849304190514525,0.00029716183735192987,0.01723838267796402,0.017315605963818845,0.31534027796115005,0.5993604300499035,0.008592438015985493,0.002863831948978616,0.041619417794673756,0.03222360422930862
0.00031282126150695375,0.00030714696919243096,0.01752560895354084,0.017849380431585626,0.2882870286386338,0.64055666133329,0.0,0.00018222564013372258,0.040525970068229465,0.030448114319713077
0.0002701949890428479,0.00027639808600537575,0.016625224389624813,0.016252110811296273,0.28486808767997407,0.5551334028521684,0.022704372701232007,0.019418455603649003,0.04185539185460298,0.07602028930837339
0.0002609143146058888,0.00027074786727415955,0.016454417864943126,0.015856794007995775,0.289037489769586,0.533713913082366,0.023976617811482744,0.024034127373951615,0.04689996384542493,0.08233788811718869
9.547809466507101e-05,0.0002149153309681664,0.014659990824286569,0.006512834544677655,0.26836681385776934,0.2549988323945106,0.21741593011526028,0.029215474147532908,0.048949921084462555,0.18105302840046428
0.00032752251848478664,0.0003238272684552738,0.01799520126187184,0.018200547674825956,0.27340211185712504,0.6910037698552982,0.0,0.0,0.03559411828757675,0.0
0.0002867856541266283,0.0002869950478612847,0.016940928187714057,0.016928567959730315,0.32207342406328404,0.5633333785437273,0.012255826286590794,0.0,0.04759685664090999,0.05474051446548789
0.00030612717964804644,0.0003018076675637598,0.017372612571624334,0.017621251748171786,0.33758697806222326,0.601594142127698,0.0,0.002557996763876412,0.03568861013106107,0.02257227291514107
0.00024959468165803325,0.00026687441734242544,0.01633629141948764,0.015278539984925257,0.30360507677930293,0.5100024000362825,0.06482430307915789,0.0,0.039184123995593505,0.08238409610966338
9.448454366961073e-05,0.00020807758598123923,0.014424894661010153,0.006550102852743752,0.20973873568797116,0.2785103744484839,0.10355339297093524,0.11717880204642295,0.12046570133858381,0.170552993507603
-4.225610821322772e-05,0.00019082090073132527,0.01381379385727633,-0.0030589792094638493,0.13555912787296845,0.13864618184054905,0.24217585978739747,0.1948378005577487,0.1324858371289291,0.15629519281240734
0.00020365271969425232,0.00023962570889896886,0.015479848477907296,0.013155989219461916,0.27845461970601043,0.3474194331917091,0.01838449644433819,0.01381595622945051,0.07907355144467496,0.2628519429838168
0.00011559380708863463,0.00021619160084759462,0.014703455405026215,0.00786167631379493,0.296499146468299,0.22037054354675098,0.08902745458116247,0.10665962302937781,0.02012816019296004,0.2673150721814496
-4.998524583610652e-05,0.00019069326323818567,0.013809173155485657,-0.003619713162641459,0.13826104282940765,0.12870850272899842,0.25000308643306707,0.2008806906503467,0.13044001958694124,0.15170665777123893
4.4088994429605707e-05,0.00019930334236753676,0.014117483570648728,0.003123006604468088,0.21355168023305257,0.21085777290628413,0.14990914402689942,0.14876272989295114,0.12015005247751806,0.15676862046329482
9.681291792522721e-05,0.00021552932061769217,0.01468091688613801,0.006594473538409562,0.26959122529963764,0.2558039708979846,0.218371313885398,0.02554175340252573,0.0491650201350649,0.18152671637938905
0.0003127590737668052,0.0003070846458098987,0.017523830797228634,0.017847642869061913,0.28867932899702536,0.6402035827497559,0.0,0.00018212519629356625,0.04050363191616302,0.030431331140762265
0.00021481706571768183,0.0002464372755810602,0.015698320788576726,0.013684079247125515,0.28684343526483713,0.4351666228841272,0.00011995175620204405,0.07109922188359667,0.08675789827896245,0.1200128699322746
0.0002771672123436841,0.0002790990947145385,0.016706259147832542,0.016590620909866804,0.3237976659333017,0.538349720580228,0.0005305351761495412,0.0164046078087591,0.05135752692963107,0.06955994357193067
0.0003188192492382705,0.0003134575099069556,0.01770473128592907,0.01800757346097954,0.2826899628645171,0.6604955152957591,0.00016415770543589764,0.0,0.03766369277367297,0.018986671360614885
6.630109513704379e-05,0.00020221429349364132,0.014220207224004907,0.00466245632659431,0.22425521233393364,0.227490511351207,0.12519142254141696,0.14551315336964557,0.09500006102339796,0.1825496393803989
7.540041358877688e-06,0.00019497345049042795,0.013963289386474375,0.0005399903382494811,0.18950045603621185,0.1774695114573211,0.21873306777068513,0.14624984634840044,0.10791344480636819,0.16013367358101335
9.367917294613359e-05,0.0002079063453319679,0.014418957844864098,0.006496944782975509,0.21036403082484226,0.27689991695729926,0.10449844210766689,0.11719031710670198,0.12047753939963449,0.17056975360385515
4.626048174675067e-06,0.00019488172351547596,0.013960004423906032,0.0003313787040606604,0.10558111965814386,0.19179427089488968,0.18805668417120558,0.14762295977992765,0.16075473337375748,0.20619023212207582
-2.7261379951446575e-05,0.00019181686751820257,0.013849796659814272,-0.0019683595810865975,0.09917370694644656,0.1573072346294869,0.21788777870780454,0.17443873628474332,0.15464544881806513,0.1965470946134534
-6.522320449492453e-05,0.00019014989907732325,0.013789485091087458,-0.00472992313085571,0.09641095304437482,0.12502809844533014,0.2596794949538114,0.2116156182551284,0.14043498207243865,0.16683085322891666
0.00020998176802174845,0.00024215384991655318,0.015561293324031687,0.013493850649127502,0.28203453758083785,0.35554415379507903,0.018613500360606116,0.003757441337646219,0.08005852011155516,0.2599918468142757
6.630109513704379e-05,0.00020221429349364132,0.014220207224004907,0.00466245632659431,0.22425521233393364,0.227490511351207,0.12519142254141696,0.14551315336964557,0.09500006102339796,0.1825496393803989
